,Algorithm,train Score,RMSE_tr,MSE_tr,MAE_tr,Mape_tr,Adjusted_r2_tr,Val Score,RMSE_vl,MSE_vl,MAE_vl,Mape_val,Adjusted_r2_val,test Score,RMSE_te,MSE_te,MAE_te,Mape_te,Adjusted_r2_te
0,Simple Linear Reg Model,0.6380808291912999,154633.07561445935,23911388073.9871,111285.78414919674,0.2570888849083175,1.0708102725495283,0.6066449573011745,154733.08858472094,23942328702.967102,111304.82765177007,0.26831355336978785,1.0769607692236833,0.596611682119748,165198.268165,27290467804.715244,115691.92085106556,0.2709743241595932,1.0789238013243971
1,SLinear-Reg (Lasso),0.6380648114970395,154636.49742535397,23912446335.981503,111286.32597011304,0.257108883513634,1.0708134064462314,0.6066256109849069,154736.89364393897,23943506254.57568,111316.1122984502,0.26834913147196837,1.0769645543725181,0.5973163065811741,165053.9238544864,27242797779.762592,115648.9222635433,0.2708376499581703,1.0787859400167268
2,SLinear-Reg (Ridge),0.6377029830817803,154713.77355616947,23936351727.98968,111373.01976362523,0.2572476727512536,1.0708841989622604,0.6067104425895051,154720.20815663802,23938342812.0334,111348.28421204674,0.26844625420109014,1.076947956884662,0.5974250065077935,165031.64512724438,27235443893.40472,115680.1981355607,0.27099504249272444,1.0787646726397795
3,KNN,0.9991354314182427,7557.816173974837,57120585.31959564,601.8771384136859,0.0019239124507529884,1.0001691547225178,0.39070174586858675,192577.6134228894,37086137191.65583,135298.42565766213,0.31848718835352874,1.119210527982233,0.3922253944148719,202775.32529271356,41117832547.5658,142016.29334775894,0.3247911482618405,1.118912422831873
4,SVR with kernel rbf,-0.052604856183959825,263711.6308445338,69543824242.68365,181831.5155927473,0.3993848829393023,1.2059444283838183,-0.0347075423470371,250957.18882536306,62979510623.12893,174006.07289537217,0.4053696833414464,1.2024427800244204,-0.04145693090800018,265438.85112523474,70457783686.68454,180460.03527701864,0.4067321752358479,1.2037633125689566
5,Simple DT,0.9991354314182427,7557.816173974837,57120585.31959564,601.8771384136859,0.0019239124507529884,1.0001691547225178,0.350118277298901,198887.73181057893,39556329864.756775,140147.4275510204,0.3283689706960905,1.1271507718328238,0.3735998307746097,205858.9554916004,42377909556.09272,142853.7157227203,0.32142159777127255,1.122556554848446
6,Logistic Regression,0.21304828372620854,228018.79345289874,51992570167.71569,156786.0757192846,0.34675731994830566,1.153968814053568,0.188134716357507,222296.5992689712,49415778046.54956,152429.921574344,0.3505683428158901,1.1588432076691835,0.2031193720582949,232188.3719350128,53911440061.83184,159722.81062759677,0.35737917901684535,1.1559114272059858
7,Gradient Boosting,0.7427927436040143,130358.15594870721,16993248822.347467,97507.6993061561,0.2312870294807633,1.050323158860084,0.6540112817531497,145118.1730850571,21059284159.54459,105026.89075513279,0.25541580970871935,1.0676934448743838,0.6693336993714667,149568.0391417617,22370598332.711555,107150.85296114573,0.2535568379886755,1.0646955805577565
8,Bagging Regressor,0.9522528178895574,56165.609074976295,3154575642.7630596,38763.66226376083,0.08886704104930808,1.00934183997813,0.6407311596986711,147876.9925326786,21867604920.509876,104199.86208385396,0.2508359895518837,1.070291729624173,0.6672367113156805,150041.5477887813,22512466062.85314,106243.20662290047,0.24756606649937132,1.0651058608295407
9,Random Forest,0.954078394385571,55081.4205370644,3033962888.3809395,38358.71301379786,0.08833902154682054,1.0089846619680405,0.6457393914904763,146842.66763272,21562769037.493477,103156.89877118562,0.24825483794081518,1.0693118581866459,0.6682996426796218,149801.72050857416,22440555467.328968,105878.35990735477,0.2477525074705747,1.0648978959974653
10,ADA Boost,0.9980296180209624,11409.636627215092,130179807.96508817,2994.864541819924,0.01083659119063648,1.0003855095176377,0.6366676582814423,148710.92068262224,22114937930.27316,103207.79671797049,0.24662820291848875,1.0710867625101526,0.6591320726430827,151857.7292900864,23060769945.141167,105052.2289489651,0.24105695942841074,1.0666915510046142
11,XGBoost,0.8844714098640392,87365.77556195942,7632778739.542666,66850.74227330992,0.16557855867554605,1.0226034198092098,0.6363656592187925,148772.71153502451,22133319697.48362,105809.67192966472,0.2522366772607106,1.0711458492832797,0.65935622705715,151807.7903320067,23045605205.486504,107642.38570652471,0.25074426155742746,1.0666476947062098
12,Gradient Boosting BY Grid Search,0.7734815709694041,122334.3363646556,14965689853.780695,91630.67030051458,0.21736237529717617,1.0443188230712035,0.661575118659454,143523.15611918375,20598896342.41159,103753.17575867103,0.25131452136439103,1.0662135637405417,0.6767100890864668,147890.37408038886,21871562745.637352,105721.72808267221,0.24956812017844118,1.0632523738743869
13,Gradient Boosting Tuning using graph,0.8349374914374038,104428.92813601045,10905401031.636036,79223.64702185117,0.191179176809939,1.0322948386318123,0.6452235697710978,146949.53399537483,21594165541.457825,105052.80760089222,0.2509615287565865,1.0694127798273938,0.6638978069484045,150792.41782665128,22738353274.007378,106958.40967905438,0.2509126261057621,1.065759124727486
14,Gradient Boosting BY Random Search,0.8093034493594204,112245.26216026065,12598998877.425642,84638.60944799661,0.2021895945869171,1.037310194690548,0.6617896275460696,143477.66319858047,20585839836.925293,102724.85884100219,0.24807064469483894,1.0661715946105517,0.6822210792374724,146624.44274639437,21498727210.690685,104642.65600372781,0.2460322985205126,1.0621741366709294
