dayhours,price,room_bed,room_bath,living_measure,lot_measure,ceil,coast,sight,condition,quality,ceil_measure,basement,yr_built,living_measure15,lot_measure15,furnished,total_area,month/year,price_bins,has_basement,house_land_ratio,has_renovated
2014-05-07,460000,3.0,2.0,1760.0,9055.0,2.0,0.0,0.0,4.0,7.0,1760.0,0.0,1985.0,2010.0,9383.0,0.0,10815.0,May/2014,2,No,16.0,No
2014-05-20,345600,5.0,3.5,2800.0,5120.0,2.5,0.0,0.0,3.0,9.0,2800.0,0.0,1903.0,1780.0,5120.0,1.0,7920.0,May/2014,2,No,35.0,Yes
2014-05-02,750000,3.0,1.75,2240.0,10578.0,2.0,0.0,0.0,5.0,8.0,1550.0,690.0,1923.0,1570.0,10578.0,0.0,12818.0,May/2014,4,Yes,17.0,No
2014-05-14,325000,3.0,2.5,2220.0,6049.0,2.0,0.0,0.0,4.0,8.0,2220.0,0.0,1990.0,1980.0,7226.0,0.0,8269.0,May/2014,2,No,27.0,No
2014-05-15,390000,3.0,2.5,2240.0,10800.0,2.0,0.0,0.0,3.0,8.0,2240.0,0.0,1996.0,1900.0,9900.0,0.0,13040.0,May/2014,2,No,17.0,No
2014-05-20,259900,3.0,2.0,1490.0,7770.0,1.0,0.0,0.0,4.0,7.0,1490.0,0.0,1990.0,1540.0,7366.0,0.0,9260.0,May/2014,1,No,16.0,No
2014-05-08,375000,6.0,2.25,3206.0,5793.0,2.0,0.0,0.0,3.0,7.0,3206.0,0.0,2012.0,2527.0,5804.0,0.0,8999.0,May/2014,2,No,36.0,No
2014-05-28,210000,2.0,1.5,880.0,1157.0,2.0,0.0,0.0,3.0,7.0,880.0,0.0,2007.0,1070.0,1203.0,0.0,2037.0,May/2014,1,No,43.0,No
2014-05-13,413000,4.0,1.0,1410.0,6000.0,1.0,0.0,0.0,3.0,7.0,810.0,600.0,1925.0,1500.0,4800.0,0.0,7410.0,May/2014,2,Yes,19.0,No
2014-05-13,373000,5.0,2.5,3001.0,5710.0,2.0,0.0,0.0,3.0,8.0,3001.0,0.0,2006.0,2340.0,5980.0,0.0,8711.0,May/2014,2,No,34.0,No
